"study_name","feature_id","species","n_control","n_crc","mean_control","mean_crc","median_control","median_crc","diff_mean","p_value","fdr","direction"
"YuJ_2015","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum","Haemophilus sputorum",54,74,-4.60151032035331,-5,-5,-5,-0.398489679646692,0.00154927508690909,0.0636309410694805,"depleted_in_crc"
"YuJ_2015","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii","Faecalibacterium prausnitzii",54,74,0.33667355080964,-0.00302136957842632,0.664829857568936,0.33404884107229,-0.339694920388066,0.00190405724875288,0.0729888612021938,"depleted_in_crc"
"YuJ_2015","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens","Lachnospira eligens",54,74,-0.632612934339461,-1.58272753822065,0.215464225242973,-0.971000920513523,-0.950114603881194,0.00222479498710515,0.0799535698490913,"depleted_in_crc"
"YuJ_2015","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis","Roseburia intestinalis",54,74,-1.8167513643576,-2.79085203140353,-1.16477764464958,-2.33303365628115,-0.974100667045939,0.0026732128507587,0.0816756155114724,"depleted_in_crc"
"YuJ_2015","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_clostridioforme","Enterocloster clostridioformis",54,74,-4.63860546959558,-3.76660316907861,-5,-5,0.872002300516964,0.00257715309251098,0.0816756155114724,"enriched_in_crc"
"YuJ_2015","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia","Prevotella intermedia",54,74,-4.9231705984434,-4.09665288522579,-5,-5,0.826517713217607,0.00284089097431208,0.0816756155114724,"enriched_in_crc"
"YuJ_2015","k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_sp_oral_taxon_370","Fusobacterium sp. oral taxon 370",54,74,-4.9577166439129,-4.32771533607296,-5,-5,0.630001307839933,0.00276170510323894,0.0816756155114724,"enriched_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis","Peptostreptococcus stomatis",61,53,-4.82186268504063,-3.26739612729053,-5,-5,1.5544665577501,5.25257413525557e-07,0.000191355876213288,"enriched_in_crc"
"ZellerG_2014","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes","Dialister pneumosintes",61,53,-5,-3.63136765143834,-5,-5,1.36863234856166,9.12667136152406e-07,0.000191355876213288,"enriched_in_crc"
"ZellerG_2014","k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum","Fusobacterium nucleatum",61,53,-5,-3.85412102941676,-5,-5,1.14587897058324,9.12667136152406e-07,0.000191355876213288,"enriched_in_crc"
