"study_name","feature_id","species","n_control","n_crc","mean_control","mean_crc","median_control","median_crc","diff_mean","p_value","fdr","direction"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_OM08_24","Eubacterium sp. OM08-24",52,52,-4.5144170464517,-4.64113358059063,-5,-5,-0.126716534138921,0.5620078193673,0.775597865976828,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum","Eubacterium ventriosum",52,52,-2.7906032166033,-2.98689592747518,-1.93902714387228,-4.36062319952359,-0.196292710871886,0.731869993457833,0.876390740172952,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Pseudoramibacter|s__Pseudoramibacter_alactolyticus","Pseudoramibacter alactolyticus",52,52,-5,-5,-5,-5,0,NA,NA,"no_difference"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Hungateiclostridiaceae|g__Mageeibacillus|s__Mageeibacillus_indolicus","Mageeibacillus indolicus",52,52,-5,-4.95074805031444,-5,-5,0.0492519496855586,0.326706554868585,0.564406516263356,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerocolumna|s__Anaerocolumna_aminovalerica","Anaerocolumna aminovalerica",52,52,-5,-5,-5,-5,0,NA,NA,"no_difference"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerosporobacter|s__Anaerosporobacter_mobilis","Anaerosporobacter mobilis",52,52,-5,-5,-5,-5,0,NA,NA,"no_difference"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae","Anaerostipes caccae",52,52,-4.82703641302117,-4.72715641526898,-5,-5,0.0998799977521907,0.464373622438261,0.703082535096131,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus","Anaerostipes hadrus",52,52,-0.63151796633422,-1.07700695230981,-0.253478118669884,-0.497548132515457,-0.445488985975587,0.138094787949501,0.564406516263356,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_sp_494a","Anaerostipes sp. 494a",52,52,-5,-5,-5,-5,0,NA,NA,"no_difference"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum_lactatifermentans","Anaerotignum lactatifermentans",52,52,-3.82623942960722,-3.48219271623283,-5,-5,0.344046713374395,0.336079614066137,0.575069561846501,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_coccoides","Blautia coccoides",52,52,-4.71459546565792,-4.39779966190236,-5,-5,0.316795803755556,0.22372815777764,0.564406516263356,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii","Blautia hansenii",52,52,-4.44283285166057,-4.26022802593132,-5,-5,0.182604825729248,0.563991994725501,0.775597865976828,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica","Blautia hydrogenotrophica",52,52,-4.26438004486761,-4.08560657111971,-5,-5,0.178773473747897,0.469449037464393,0.708775997740358,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum","Blautia obeum",52,52,-1.19451105360519,-1.60245048466168,-0.69007477372013,-0.597375494035265,-0.40793943105649,0.888500022056598,1,"depleted_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta","Blautia producta",52,52,-4.32887704419369,-4.17499637121458,-5,-5,0.153880672979112,0.575458652211827,0.775597865976828,"enriched_in_crc"
"VogtmannE_2016","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_An249","Blautia sp. An249",52,52,-5,-5,-5,-5,0,NA,NA,"no_difference"
