"species","n_studies_tested","n_sig","n_enriched_crc","n_depleted_crc","mean_diff"
"Lactobacillus gasseri",11,0,0,0,0.023776948375354
"Citrobacter portucalensis",11,0,0,0,-0.0232243971655853
"Eubacterium sp. OM08-24",11,0,0,0,0.0230561077027319
"Alloprevotella rava",11,0,0,0,0.023043291839016
"Fusobacterium hwasookii",11,0,0,0,0.0229815961472679
"Latilactobacillus sakei",11,0,0,0,0.022967273844548
"Hafnia paralvei",11,0,0,0,-0.0226871180952438
"Pseudoflavonifractor capillosus",11,0,0,0,-0.0226783299497226
"[Eubacterium] saphenum",11,0,0,0,0.0224141570074964
"Pediococcus acidilactici",11,0,0,0,-0.0223178853787268
"Citrobacter werkmanii",11,0,0,0,0.0222605767809462
"Bacteroides sp. D2",11,0,0,0,0.0220835061043167
"Prevotella veroralis",11,0,0,0,0.0220713236467912
"Veillonella rodentium",11,0,0,0,0.0220212601763505
"Alistipes sp. An66",11,0,0,0,0.0213831267109018
"Klebsiella quasipneumoniae",11,0,0,0,0.0212613170927017
"Intestinibacter bartlettii",11,0,0,0,-0.0211826950634086
"Treponema socranskii",11,0,0,0,0.02106846782381
"Hafnia alvei",11,0,0,0,-0.0209765387491614
"Raoultella ornithinolytica",11,0,0,0,0.0208936674028068
"Latilactobacillus curvatus",11,0,0,0,0.0206949424771153
"Actinomyces sp. ICM47",11,0,0,0,-0.0203525963593147
"Weissella confusa",11,0,0,0,-0.0202250494962143
"Jonquetella anthropi",11,0,0,0,0.0201895234222604
"Bacteroides sp. CAG:633",11,0,0,0,-0.0199455722292035
"Leptotrichia sp. oral taxon 215",11,0,0,0,0.0198092144246135
"Clostridium sp. chh4-2",11,0,0,0,0.0197692429406832
"Carnobacterium divergens",11,0,0,0,-0.0195844956403932
"Bacteroides stercorirosoris",11,0,0,0,0.0195291536713048
"Oscillibacter sp. PC13",11,0,0,0,-0.0193064895912719
"Citrobacter farmeri",11,0,0,0,0.0189812020931376
"Streptococcus infantarius",11,0,0,0,-0.0188158358396724
"Phocaeicola salanitronis",11,0,0,0,-0.0187826068377267
"Parascardovia denticolens",11,0,0,0,0.0185609844654354
"Bacteroides fluxus",11,0,0,0,0.0184212337116729
"Lactococcus piscium",11,0,0,0,-0.0184111417155648
"Limosilactobacillus oris",11,0,0,0,0.0182582279122216
"Bacteroides uniformis",11,0,0,0,-0.0181106128312047
"Streptococcus downei",11,0,0,0,0.0180564293091072
"Amedibacillus dolichus",11,0,0,0,0.0177710011467385
"Shuttleworthia satelles",11,0,0,0,0.0177169096222248
"Flavonifractor sp. An306",11,0,0,0,0.0175711242649018
"Haemophilus influenzae",11,0,0,0,0.0175571578699893
"Kosakonia pseudosacchari",11,0,0,0,0.0175346810699573
"Megasphaera stantonii",11,0,0,0,0.0174531630568996
"Atopobium minutum",11,0,0,0,0.0173827652081423
"Actinomyces sp. oral taxon 180",11,0,0,0,0.0173800408046281
"Treponema medium",11,0,0,0,0.0173041343037716
"Bacteroides ovatus",11,0,0,0,-0.0172691166826168
"Streptococcus peroris",11,0,0,0,0.0171078497863262
"Streptococcus pneumoniae",11,0,0,0,0.016935405211975
"Dialister invisus",11,0,0,0,0.0168769040658988
"Selenomonas sp. oral taxon 126",11,0,0,0,0.0168014307452232
"Campylobacter concisus",11,0,0,0,0.0166292752864911
"Lachnoclostridium sp. An14",11,0,0,0,0.0164086456125122
"Aeromonas dhakensis",11,0,0,0,0.0163008214777145
"Pluralibacter gergoviae",11,0,0,0,0.0162285908620013
"Aggregatibacter aphrophilus",11,0,0,0,0.0161737746471337
"Streptococcus sp. HMSC067H01",11,0,0,0,-0.0161594722821074
"Bacteroides sp. CAG:661",11,0,0,0,-0.0160875565181855
"Subdoligranulum variabile",11,0,0,0,0.0160718704891098
"Megasphaera hexanoica",11,0,0,0,0.0160384751105823
"Anaerococcus lactolyticus",11,0,0,0,0.0159446543309271
"Treponema succinifaciens",11,0,0,0,0.0159251325639688
"Sediminibacterium sp. FEMGT703S",11,0,0,0,0.0156612881828551
"Candidatus Gastranaerophilales bacterium HUM_9",11,0,0,0,-0.015624152461086
"Denitrobacterium detoxificans",11,0,0,0,-0.015436778294776
"Candida albicans",11,0,0,0,0.015408991753074
"Clostridium neonatale",11,0,0,0,-0.0153750460788379
"Phascolarctobacterium sp.",11,0,0,0,0.0153748090397607
"Leuconostoc carnosum",11,0,0,0,0.0152558930044363
"Pseudomonas lundensis",11,0,0,0,-0.0152497477939419
"Veillonella rogosae",11,0,0,0,-0.0151862520435762
"Brachyspira pilosicoli",11,0,0,0,0.0151574423092459
"Streptococcus pseudopneumoniae",11,0,0,0,-0.0151168975121976
"Roseburia sp. CAG:182",11,0,0,0,0.015096004652425
"Desulfovibrio legallii",11,0,0,0,0.0150835675514474
"Enterococcus gilvus",11,0,0,0,0.0150390716245202
"Lachnospiraceae bacterium oral taxon 096",11,0,0,0,0.0150327988373792
"Finegoldia magna",11,0,0,0,0.0150103840130264
"Streptococcus sp. HMSC071D03",11,0,0,0,0.0148706746804794
"Leptotrichia hofstadii",11,0,0,0,0.0148487290031839
"[Butyribacterium] methylotrophicum",11,0,0,0,0.0147080198951283
"Klebsiella pneumoniae",11,0,0,0,0.0147010117529743
"Gleimia europaea",11,0,0,0,0.0146563265639316
"Catonella morbi",11,0,0,0,0.0146542218119912
"Prevotella pallens",11,0,0,0,0.0146326006961456
"Treponema maltophilum",11,0,0,0,0.0145269652845179
"Bacteroidetes bacterium oral taxon 272",11,0,0,0,-0.0144519194100073
"Arachnia propionica",11,0,0,0,-0.0143770256253484
"Bacteroides heparinolyticus",11,0,0,0,0.0143684986605241
"Staphylococcus xylosus",11,0,0,0,-0.0143495719442457
"Leuconostoc garlicum",11,0,0,0,0.0142762542950558
"Peptoniphilus sp. HMSC062D09",11,0,0,0,0.0142257813855463
"Marvinbryantia formatexigens",11,0,0,0,0.0142030617604556
"Actinomyces johnsonii",11,0,0,0,0.0141328245038082
"Prevotella dentalis",11,0,0,0,0.014115574972145
"Haemophilus parahaemolyticus",11,0,0,0,0.0141154285329554
"Lactiplantibacillus plantarum",11,0,0,0,-0.0140641458849067
"Actinomyces radicidentis",11,0,0,0,-0.0140502432854403
"Enterococcus hirae",11,0,0,0,0.0139902074222373
"Desulfovibrio sp. An276",11,0,0,0,-0.0139232863884769
"Actinomyces sp. oral taxon 897",11,0,0,0,0.0138928707180815
"Desulfomicrobium orale",11,0,0,0,-0.0138780118265887
"Serratia liquefaciens",11,0,0,0,-0.0138036233277314
"Staphylococcus equorum",11,0,0,0,-0.0137705417043018
"Prevotella histicola",11,0,0,0,0.0137430021564491
"Clostridium paraputrificum",11,0,0,0,-0.0137355034883779
"Bacteroides pyogenes",11,0,0,0,0.0136508648272913
"Synergistes jonesii",11,0,0,0,0.0135704257213332
"Robinsoniella sp. RHS",11,0,0,0,0.0133430405081688
"Pantoea dispersa",11,0,0,0,-0.0133152460374204
"Selenomonas flueggei",11,0,0,0,-0.013221300393873
"Prevotella sp. CAG:755",11,0,0,0,0.0132108907578268
"Bacteroides sp. CAG:462",11,0,0,0,0.0131125084607959
"Eggerthella lenta",11,0,0,0,-0.0130196891314843
"Leptotrichia sp. oral taxon 212",11,0,0,0,0.0129914848146534
"Bacteroides oleiciplenus",11,0,0,0,0.0128953156057212
"Blautia sp. CAG:257",11,0,0,0,-0.0128859138792251
"Chlamydia ibidis",11,0,0,0,-0.0128598434332149
"Pasteurella canis",11,0,0,0,0.0127792088728681
"Prevotella baroniae",11,0,0,0,-0.0127424166649369
"Trueperella bernardiae",11,0,0,0,0.0126790187028923
"Limosilactobacillus gastricus",11,0,0,0,0.012676401891722
"Leclercia adecarboxylata",11,0,0,0,0.0124853835078912
"Lentilactobacillus otakiensis",11,0,0,0,-0.0124365869691095
"Macrococcus caseolyticus",11,0,0,0,-0.0122911917189976
"Eikenella longinqua",11,0,0,0,0.0122764597491553
"Leuconostoc citreum",11,0,0,0,-0.0122680888093586
"Parabacteroides johnsonii",11,0,0,0,-0.012255554219435
"Leuconostoc gelidum",11,0,0,0,-0.0122300928503107
"Ligilactobacillus acidipiscis",11,0,0,0,-0.0121432674161644
"Peptoanaerobacter stomatis",11,0,0,0,0.0121401947975827
"Cellulosilyticum lentocellum",11,0,0,0,0.0121203590807266
"Prevotella sp. CAG:924",11,0,0,0,-0.0120662378402897
"Methanosphaera sp. SHI1033",11,0,0,0,0.0119507731477682
"Stenotrophomonas maltophilia",11,0,0,0,0.0119169707766005
"Dysgonomonas sp. 37-18",11,0,0,0,-0.0117470277243822
"Enterococcus pseudoavium",11,0,0,0,-0.0116909586736708
"Bacteroides sp. OM08-11",11,0,0,0,0.0116793783131975
"Rothia kristinae",11,0,0,0,-0.0116021130078959
"Alistipes sp. An31A",11,0,0,0,-0.0115515031886681
"Campylobacter coli",11,0,0,0,0.0115422038198747
"Veillonella sp. T11011-6",11,0,0,0,-0.0113610554970715
"Fannyhessea vaginae",11,0,0,0,0.0112639734783452
"Pseudoramibacter alactolyticus",11,0,0,0,0.0112014188361575
"Dellaglioa algida",11,0,0,0,-0.0111096376662562
"Proteus vulgaris",11,0,0,0,0.011073065029944
"Streptococcus macedonicus",11,0,0,0,-0.0110672811019078
"Bifidobacterium pullorum",33,0,0,0,0.0109089412020778
"Prevotella bergensis",11,0,0,0,0.0107127007109709
"Providencia rettgeri",11,0,0,0,0.0106685288541764
"Kosakonia cowanii",11,0,0,0,-0.0106431332887147
"Selenomonas artemidis",11,0,0,0,0.0106061551724178
"Cetobacterium somerae",11,0,0,0,0.0105593483814076
"Enterococcus asini",11,0,0,0,-0.0103491150441661
"Escherichia albertii",11,0,0,0,0.010289091997429
"Bavariicoccus seileri",11,0,0,0,0.0102832310126834
"Candidatus Methanomassiliicoccus intestinalis",11,0,0,0,0.0102585862261088
"Kluyvera ascorbata",11,0,0,0,-0.010131252305265
"Treponema vincentii",11,0,0,0,0.0101308951400131
"Enterococcus devriesei",11,0,0,0,-0.0100209088061968
"Tannerella sp. oral taxon 808",11,0,0,0,-0.00998404770045132
"Methanobacterium sp. MB1",11,0,0,0,0.00996375473031689
"Aeromonas allosaccharophila",11,0,0,0,0.00990429269724617
"Propionibacterium acidifaciens",11,0,0,0,0.00990084452745115
"Pediococcus pentosaceus",11,0,0,0,-0.00985489697826513
"Enterococcus italicus",11,0,0,0,-0.00983830515632961
"Muribaculum intestinale",11,0,0,0,0.00981736950230815
"Escherichia fergusonii",11,0,0,0,0.00981681733588025
"Bacteroides sp. CAG:927",11,0,0,0,0.00977988772122336
"Klebsiella grimontii",11,0,0,0,0.0097511751638412
"Streptococcus sp. HMSC034E03",11,0,0,0,0.0096785881023475
"Murimonas intestini",11,0,0,0,0.00943528086106461
"Ligilactobacillus agilis",11,0,0,0,0.00941372986006783
"Corynebacterium durum",11,0,0,0,-0.00940124549594756
"Campylobacter hominis",11,0,0,0,0.00937255660206345
"Edwardsiella tarda",11,0,0,0,0.00935065005337913
"Clostridium sp. CAG:590",11,0,0,0,0.00934429522008432
"Lactiplantibacillus pentosus",11,0,0,0,-0.00931460288894594
"Scardovia inopinata",11,0,0,0,-0.00930902984150116
"Rikenella microfusus",11,0,0,0,0.0092993514937616
"Corynebacterium matruchotii",11,0,0,0,0.00925740054982911
"Methanobrevibacter woesei",11,0,0,0,-0.00917615920308804
"Campylobacter curvus",11,0,0,0,0.00908888940300907
"Staphylococcus haemolyticus",11,0,0,0,0.00878762285982937
"Streptococcus sp. NLAE-zl-C503",11,0,0,0,0.00872187264361702
"Neisseria mucosa",11,0,0,0,0.00867830469021066
"Cardiobacterium valvarum",11,0,0,0,0.00862238680262265
"Streptococcus salivarius CAG:79",11,0,0,0,0.00861585690332726
"Lactococcus raffinolactis",11,0,0,0,0.00859784993805937
"Lactobacillus ultunensis",11,0,0,0,-0.00856976132879412
"Enterococcus thailandicus",11,0,0,0,0.00850360408033612
"Lactobacillus iners",11,0,0,0,0.00846659483017532
"Acetivibrio ethanolgignens",11,0,0,0,0.00845553971307744
"Oscillibacter sp. 57_20",11,0,0,0,-0.0084513839963107
"Ligilactobacillus murinus",11,0,0,0,0.00843716376064348
"Blautia coccoides",11,0,0,0,0.00840494855536825
"Bacteroides caecimuris",11,0,0,0,0.00831728770693681
"Tannerella forsythia",11,0,0,0,0.00829583639209512
"Eubacterium dolichum CAG:375",11,0,0,0,0.00828763228577379
"Prevotella sp. S7-1-8",11,0,0,0,0.00827660206189262
"Prevotella colorans",11,0,0,0,0.00826983139108864
"Methanobrevibacter arboriphilus",11,0,0,0,0.00820162297139375
"Varibaculum cambriense",11,0,0,0,0.0080443289880764
"Vagococcus teuberi",11,0,0,0,0.00802862159858186
"Proteus penneri",11,0,0,0,0.00798289236200045
"Oxalobacter formigenes",11,0,0,0,0.00797269400046038
"Streptococcus sp. oral taxon 056",11,0,0,0,-0.00796980188853904
"Selenomonas sp. oral taxon 920",11,0,0,0,0.00796087815697815
"Shewanella algae",11,0,0,0,0.00794517413263525
"Ruminococcus sp. CAG:563",11,0,0,0,-0.00783008038735833
"Raoultella planticola",11,0,0,0,0.00780406639430579
"Butyrivibrio crossotus",11,0,0,0,-0.00777572609076841
"Facklamia hominis",11,0,0,0,0.00775616383722966
"Enterobacter bugandensis",11,0,0,0,0.00766856220166392
"Lactobacillus intestinalis",11,0,0,0,0.00764511787534936
"Alcaligenes aquatilis",11,0,0,0,0.00761092496301002
"Anaerosporobacter mobilis",11,0,0,0,0.00758951229863136
"Prevotella amnii",11,0,0,0,0.00750011849441594
"Prevotella oulorum",11,0,0,0,-0.00747505828931142
"Bifidobacterium scardovii",11,0,0,0,0.00746952240849253
"Neisseria sp. oral taxon 014",11,0,0,0,0.00745179409003394
"Eubacterium sp. An11",11,0,0,0,0.00742963847987476
"Pauljensenia hongkongensis",11,0,0,0,0.00739844228060438
"Tyzzerella sp. An114",11,0,0,0,-0.00729593220935711
"Paeniclostridium sordellii",11,0,0,0,0.0072339923174595
"Tropheryma whipplei",11,0,0,0,-0.0072338412851899
"Lachnoclostridium sp. An298",11,0,0,0,0.0072155361209642
"Treponema porcinum",11,0,0,0,-0.00716004712080915
"Rhodococcus qingshengii",11,0,0,0,-0.00715344340895083
"Megasphaera vaginalis",11,0,0,0,-0.00709411470121238
"Cutibacterium namnetense",11,0,0,0,0.00706981976521413
"Raoultella terrigena",11,0,0,0,0.00705662796566806
"Duncaniella muris",11,0,0,0,0.00692091661091125
"Comamonas kerstersii",11,0,0,0,0.00690672694340247
"Pediococcus sp.",11,0,0,0,-0.00659860595240268
"Limosilactobacillus antri",11,0,0,0,0.0065812789630083
"Desulforamulus ruminis",11,0,0,0,0.00657912035370479
"Prevotella jejuni",11,0,0,0,-0.00657015499415453
"Lachnoclostridium sp. An196",11,0,0,0,0.00654685919872041
"Aggregatibacter sp. oral taxon 458",11,0,0,0,0.00654333312477107
"Enterococcus malodoratus",11,0,0,0,-0.00653219235810681
"Lentilactobacillus parabuchneri",11,0,0,0,-0.0065178881157742
"Ralstonia pickettii",11,0,0,0,0.00641212869194575
"Veillonella denticariosi",11,0,0,0,0.00636760643026141
"Dysgonomonas gadei",11,0,0,0,-0.00629210375577854
"Moraxella catarrhalis",11,0,0,0,0.00623863370444672
"Weissella viridescens",11,0,0,0,0.00619622967376099
"Barnesiella viscericola",11,0,0,0,-0.006191790250497
"Methanosphaera cuniculi",11,0,0,0,0.00616717880068681
"Clostridium sp. MSTE9",11,0,0,0,0.00615079195595104
"Helicobacter pullorum",11,0,0,0,-0.00613267002161309
"Pediococcus parvulus",11,0,0,0,-0.00611920535845225
"Lentilactobacillus buchneri",11,0,0,0,-0.00609864995632984
"Firmicutes bacterium CAG:646",11,0,0,0,0.00603658600185279
"Porphyromonas sp. HMSC065F10",11,0,0,0,0.00599256215187947
"Streptococcus equinus",11,0,0,0,-0.00597981755320529
"Carnobacterium maltaromaticum",11,0,0,0,0.00597832292143131
"Enterococcus canis",11,0,0,0,-0.00596891771704526
"Latilactobacillus fuchuensis",11,0,0,0,0.00573652191026602
"Eikenella halliae",11,0,0,0,-0.00571561779633703
"Phocaeicola coprocola",11,0,0,0,0.00567194360786379
"Lactobacillus kefiranofaciens",11,0,0,0,0.00567124250764728
"Acinetobacter pittii",11,0,0,0,-0.00561197701027118
"Dorea sp. D27",11,0,0,0,0.00556896524977376
"Porphyromonas canoris",11,0,0,0,-0.005562389673767
"Acinetobacter lwoffii",11,0,0,0,-0.0055312515378157
"Desulfovibrio vulgaris",11,0,0,0,0.00550707304138275
"Prevotella multiformis",11,0,0,0,0.00545007178366505
"Haemophilus sp. C1",11,0,0,0,0.00540280393947819
"Roseburia sp. 831b",11,0,0,0,0.005321642520124
"Corynebacterium flavescens",11,0,0,0,-0.00530857649725243
"Staphylococcus saprophyticus",11,0,0,0,-0.00530054286456421
"Streptococcus sp. M334",11,0,0,0,0.0052993483779937
"Clostridiales bacterium CHKCI006",11,0,0,0,-0.00529506578737275
"Prevotella multisaccharivorax",11,0,0,0,-0.00528713165396688
"Atlantibacter hermannii",11,0,0,0,0.00525789851193642
"Neisseria perflava",11,0,0,0,-0.00520866149543061
"Staphylococcus warneri",11,0,0,0,0.00519847406131428
"Sneathia vaginalis",11,0,0,0,0.00516006959649484
"Cutibacterium acnes",11,0,0,0,-0.00515655073146873
"Methanobacterium formicicum",11,0,0,0,0.00515468355489497
"Anaerofilum sp. An201",11,0,0,0,0.00515106556392173
"Staphylococcus carnosus",11,0,0,0,-0.00513456448498656
"Brachyspira sp. CAG:700",11,0,0,0,0.00505474258593546
"Clostridium sp. 7_2_43FAA",11,0,0,0,0.0050395952257894
"Methanomassiliicoccales archaeon RumEn M1",11,0,0,0,0.00503603910071216
"Tychonema bourrellyi",11,0,0,0,0.00502213163425693
"Leuconostoc suionicum",11,0,0,0,-0.00499809826764374
"Prevotella sp. P3-122",11,0,0,0,-0.00498711322570882
"Streptococcus massiliensis",11,0,0,0,0.0049837677460321
"Anaerocolumna aminovalerica",11,0,0,0,0.00495399570140361
"Sodalis praecaptivus",11,0,0,0,-0.00492736819688497
"Lactobacillus apis",11,0,0,0,-0.00482307790975859
"Ruminococcus sp. CAG:330",11,0,0,0,0.00481055396242588
"Companilactobacillus crustorum",11,0,0,0,-0.00476986129173601
"Bacteroides sp. OM05-12",11,0,0,0,0.00476882640255786
"Citrobacter europaeus",11,0,0,0,0.0047163270663215
"Schaalia georgiae",11,0,0,0,-0.00468305003111847
"Lentilactobacillus kefiri",11,0,0,0,-0.00467846381158213
"Oribacterium sp. oral taxon 078",11,0,0,0,-0.0046530039610374
"Anaerostipes sp. 494a",11,0,0,0,-0.0046138099157653
"Alistipes sp. CAG:831",11,0,0,0,0.0045996677762727
"Bacillus sp. FJAT-27916",11,0,0,0,-0.00459804855175864
"Candida tropicalis",11,0,0,0,0.00458652143848043
"Actinobaculum massiliense",11,0,0,0,-0.00458352751325262
"Eremococcus coleocola",11,0,0,0,0.00457378727367902
"Alcaligenes faecalis",11,0,0,0,-0.00457089546355497
"Lachnoclostridium sp. An169",11,0,0,0,0.00456026884963088
"Blautia argi",11,0,0,0,-0.004551310005534
"Brevibacterium linens",11,0,0,0,-0.004536009672308
"Corynebacterium jeikeium",11,0,0,0,0.00453083037822316
"Peptoniphilus sp. BV3C26",11,0,0,0,0.00452592959019968
"Treponema sp. OMZ 838",11,0,0,0,0.00444767140620678
"Leptotrichia sp. oral taxon 225",11,0,0,0,0.004430872682622
"Staphylococcus epidermidis",11,0,0,0,0.00441873274564534
"Enterococcus raffinosus",11,0,0,0,0.00435832414187385
"Candidatus Gastranaerophilales bacterium",11,0,0,0,0.00435676918539245
"Peptoniphilus grossensis",11,0,0,0,0.0043487034649104
"Neisseria subflava",11,0,0,0,0.00431934984223557
"Mitsuokella sp. oral taxon 131",11,0,0,0,0.00431543805604759
"Selenomonas sp. FOBRC6",11,0,0,0,0.00426732357004411
"Faecalicatena orotica",11,0,0,0,0.00426463625101967
"Pseudomonas simiae",11,0,0,0,0.00424221792693593
"Clostridium sp. SY8519",11,0,0,0,0.00424117879123537
"Klebsiella quasivariicola",11,0,0,0,-0.00423637740627505
"Kluyvera cryocrescens",11,0,0,0,-0.00423008528581249
"Levilactobacillus senmaizukei",11,0,0,0,-0.00422227587468373
"Corynebacterium aurimucosum",11,0,0,0,0.00414232135157948
"Lactobacillus kullabergensis",11,0,0,0,-0.00413271936417922
"Bacillus aerius",11,0,0,0,0.00409955713265661
"Companilactobacillus farciminis",11,0,0,0,-0.0040376601504856
"Campylobacter jejuni",11,0,0,0,-0.00400219456898783
"Lactobacillus amylovorus",11,0,0,0,0.00398638930532884
"Peptoniphilus duerdenii",11,0,0,0,-0.00398544767849497
"Lactobacillus kimbladii",11,0,0,0,-0.00397950201650394
"Lautropia mirabilis",11,0,0,0,-0.00388450692795608
"Oribacterium asaccharolyticum",11,0,0,0,0.00386474864279819
"Serratia marcescens",11,0,0,0,0.00385114392008188
"Leuconostoc mesenteroides",11,0,0,0,-0.00379274128764206
"Pantoea brenneri",11,0,0,0,-0.00371972224670479
"Brevibacterium aurantiacum",11,0,0,0,-0.00360013873306504
"Companilactobacillus versmoldensis",11,0,0,0,0.00355272049543519
"Lactiplantibacillus paraplantarum",11,0,0,0,0.0035115387618215
"Weissella minor",11,0,0,0,-0.00344330467809199
"Selenomonas infelix",11,0,0,0,0.00339025533745652
"Serratia proteamaculans",11,0,0,0,0.00338199029937688
"Citrobacter sp. MGH106",11,0,0,0,-0.00338093809243712
"Actinomyces massiliensis",11,0,0,0,-0.00335631506177535
"Moraxella osloensis",11,0,0,0,0.00335179940061205
"Desulfovibrio sp. MES5",11,0,0,0,0.0033101385315418
"Selenomonas sp. oral taxon 138",11,0,0,0,0.00330785769701134
"Coprobacter sp.",11,0,0,0,-0.00330450521606249
"Parabacteroides chinchillae",11,0,0,0,0.00328153911881463
"Anaerococcus tetradius",11,0,0,0,0.00328040031090185
"Streptococcus parauberis",11,0,0,0,-0.00327668716386651
"Bifidobacterium thermacidophilum",11,0,0,0,-0.00326518392696741
"Levilactobacillus brevis",11,0,0,0,0.00320348054009562
"Lactococcus plantarum",11,0,0,0,0.00319929490550922
"Leucobacter sp. 7(1)",11,0,0,0,-0.00319840243767245
"Salmonella enterica",11,0,0,0,0.00318449233095313
"Rothia aeria",11,0,0,0,0.00316611884795498
"Limosilactobacillus pontis",11,0,0,0,0.0030887036287525
"Pseudomonas helleri",11,0,0,0,0.00308291607266244
"Corynebacterium urealyticum",11,0,0,0,0.00305000214474038
"Leucobacter komagatae",11,0,0,0,-0.00304231398682298
"Malassezia restricta",11,0,0,0,0.00299135582896337
"Barnesiella sp. An22",11,0,0,0,-0.00298841075398223
"Methanobrevibacter oralis",11,0,0,0,0.00292852010562707
"Oenococcus alcoholitolerans",11,0,0,0,-0.00291243294998407
"Leuconostoc lactis",11,0,0,0,0.00289137119862365
"Candidatus Stoquefichus sp. KLE1796",11,0,0,0,0.00283703492827706
"Fusobacterium sp. CAG:439",11,0,0,0,0.00283572489798647
"Lactonifactor longoviformis",11,0,0,0,-0.00283311616966721
"Prevotella disiens",11,0,0,0,0.00274322031641792
"Bifidobacterium mongoliense",11,0,0,0,0.00271108829979342
"Kingella oralis",11,0,0,0,0.00269019263272058
"Sarcina ventriculi",11,0,0,0,-0.00267044089129084
"Gemmiger sp. An50",11,0,0,0,0.00263000997345849
"Prevotella salivae",11,0,0,0,-0.00254278635988828
"Peptacetobacter hiranonis",11,0,0,0,0.00243110671780868
"Helicobacter cinaedi",11,0,0,0,0.00239122070829545
"Cronobacter sakazakii",11,0,0,0,0.00236844393009796
"Ezakiella coagulans",11,0,0,0,0.00234662143335215
"Neisseria elongata",11,0,0,0,0.00232665148798054
"Lactobacillus kalixensis",11,0,0,0,0.00231394685304245
"Selenomonas noxia",11,0,0,0,-0.00229647359178556
"Schaalia meyeri",11,0,0,0,-0.00228866404725055
"Phytobacter ursingii",11,0,0,0,-0.0021844753883416
"Cardiobacterium hominis",11,0,0,0,0.00217549387179624
"[Eubacterium] yurii",11,0,0,0,0.00215709441728805
"Firmicutes bacterium CAG:170",11,0,0,0,0.00215670965198227
"Porphyromonas somerae",11,0,0,0,0.00204636494827458
"Citrobacter koseri",11,0,0,0,0.00195891978766112
"Actinotignum timonense",11,0,0,0,0.00192536541831027
"Photobacterium damselae",11,0,0,0,0.00187433994293805
"Corynebacterium accolens",11,0,0,0,0.00178700275020972
"Gemmiger sp. An194",11,0,0,0,-0.00175908734732768
"Kluyvera intermedia",11,0,0,0,-0.00170809916784458
"Providencia alcalifaciens",11,0,0,0,-0.00160001366883453
"Phocaeicola sartorii",11,0,0,0,0.00159647035362481
"Aliarcobacter butzleri",11,0,0,0,-0.00156843934096558
"Prevotella oralis",11,0,0,0,-0.0015543006111251
"Lactobacillus equicursoris",11,0,0,0,0.00153907544859575
"Streptococcus sp. HPH0090",11,0,0,0,-0.00149922427445461
"Clostridium sp. CAG:964",11,0,0,0,-0.00147136765320312
"Comamonas testosteroni",11,0,0,0,0.00145720377066711
"Bacteroidales bacterium KA00251",11,0,0,0,-0.00145665574735634
"Centipeda periodontii",11,0,0,0,0.00140872234110971
"Monoglobus pectinilyticus",11,0,0,0,-0.00138199483078244
"Helicobacter equorum",11,0,0,0,-0.00133580324360432
"Megasphaera cerevisiae",11,0,0,0,0.00132230432511263
"Bifidobacterium merycicum",11,0,0,0,-0.00131471171151887
"Megamonas funiformis CAG:377",11,0,0,0,0.00128525898069656
"Streptococcus sp. oral taxon 058",11,0,0,0,0.00124464995043622
"Leptotrichia wadei",11,0,0,0,-0.00123142183697505
"Lelliottia jeotgali",11,0,0,0,0.00120788326765615
"Streptococcus sp. SK643",11,0,0,0,0.00120342046942409
"[Kluyvera] intestini",11,0,0,0,-0.00119217342472222
"Campylobacter upsaliensis",11,0,0,0,-0.00115801541402591
"Morococcus cerebrosus",11,0,0,0,0.0011069238102186
"Dolosigranulum pigrum",11,0,0,0,0.001103572690349
"Atopobium deltae",11,0,0,0,0.00107915672110195
"Corynebacterium simulans",11,0,0,0,0.00105769334489397
"Klebsiella variicola CAG:634",11,0,0,0,-0.00104720528776517
"Enterobacter soli",11,0,0,0,-0.00102072650982036
"Haemophilus quentini",11,0,0,0,0.00100744830771477
"Kosakonia sacchari",11,0,0,0,-0.000999790830649484
"Phytobacter palmae",11,0,0,0,-0.000993665253432948
"Clostridium baratii",11,0,0,0,0.000989833325313085
"Rhodococcus erythropolis",11,0,0,0,0.000983265652917418
"Acinetobacter johnsonii",11,0,0,0,-0.000982168016917633
"Companilactobacillus mindensis",11,0,0,0,0.000945290509830084
"Escherichia sp. ESNIH1",11,0,0,0,0.000901165328367057
"Lactobacillus acidophilus",11,0,0,0,0.00088150861669391
"Desulfovibrio fairfieldensis",11,0,0,0,-0.000872246923129744
"Gemmiger sp. An120",11,0,0,0,0.000856494721942349
"Prevotella scopos",11,0,0,0,-0.000810592576287128
"Stenotrophomonas rhizophila",11,0,0,0,0.000719306795334082
"Neisseria polysaccharea",11,0,0,0,0.000717909266363877
"Limosilactobacillus fermentum",11,0,0,0,0.000696224073462481
"Gardnerella vaginalis",11,0,0,0,0.000531305147361945
"Megasphaera sp. MJR8396C",11,0,0,0,-0.000521611557110882
"Anaeromassilibacillus sp. An172",11,0,0,0,-0.000463643601295295
"Lachnoanaerobaculum umeaense",11,0,0,0,-0.000401840404456021
"Helicobacter pylori",11,0,0,0,0.000311698375877402
"Meiothermus silvanus",11,0,0,0,-0.000307417091326605
"Enterococcus mundtii",11,0,0,0,-0.000240061168984986
"Flavonifractor sp. An82",11,0,0,0,0.000235664166788461
"Thermus scotoductus",11,0,0,0,-0.000195514316040146
"Haemophilus paraphrohaemolyticus",11,0,0,0,-0.000148501329364301
