"species","n_studies_tested","n_sig","n_enriched_crc","n_depleted_crc","mean_diff"
"Bacteroides salyersiae",11,0,0,0,0.348180632753457
"Peptostreptococcus anaerobius",11,0,0,0,0.339703611671449
"[Clostridium] leptum",11,0,0,0,0.331389028432292
"Bifidobacterium pseudocatenulatum",11,0,0,0,-0.328933676338617
"Dialister sp. CAG:357",11,0,0,0,-0.32863621863962
"Firmicutes bacterium CAG:145",11,0,0,0,0.32842014928252
"Ruminococcus bicirculans",11,0,0,0,-0.314442115366037
"Alistipes indistinctus",11,0,0,0,0.308045056091167
"Bacteroides caccae",11,0,0,0,0.290310943947666
"Pseudoflavonifractor sp. An184",11,0,0,0,0.274524111939868
"Bacteroides stercoris",11,0,0,0,0.273245765403562
"Eubacterium sp. CAG:38",11,0,0,0,-0.273110867166389
"Roseburia sp. CAG:303",11,0,0,0,-0.265950370687872
"Gemella haemolysans",11,0,0,0,0.260850967752372
"Desulfovibrio piger",11,0,0,0,0.256869158690643
"Paraprevotella xylaniphila",11,0,0,0,0.25244435580704
"Streptococcus thermophilus",11,0,0,0,-0.247072146412116
"Haemophilus parainfluenzae",11,0,0,0,-0.24277497853862
"Proteobacteria bacterium CAG:139",11,0,0,0,-0.242721861624581
"Phocaeicola dorei",11,0,0,0,-0.240297093020167
"[Eubacterium] siraeum",11,0,0,0,0.236688980630868
"Coprococcus catus",11,0,0,0,0.232463187433576
"Phascolarctobacterium faecium",11,0,0,0,0.232427346754168
"Firmicutes bacterium CAG:94",11,0,0,0,0.228401154704067
"Turicimonas muris",11,0,0,0,-0.223127582611438
"Christensenella minuta",11,0,0,0,0.222673038049967
"Anaerotignum lactatifermentans",11,0,0,0,0.218894239911514
"Gemmiger formicilis",11,0,0,0,-0.216191618428876
"Christensenella hongkongensis",11,0,0,0,0.215638029826596
"Phascolarctobacterium succinatutens",11,0,0,0,0.215387364775502
"[Clostridium] scindens",11,0,0,0,0.214884967123217
"Agathobaculum butyriciproducens",11,0,0,0,-0.213091217419655
"Bifidobacterium bifidum",11,0,0,0,-0.210836691900951
"Acidaminococcus intestini",11,0,0,0,0.208978463062045
"Streptococcus pasteurianus",11,0,0,0,0.20869989008194
"Butyricimonas synergistica",11,0,0,0,0.207262407265199
"Porphyromonas endodontalis",11,0,0,0,0.204944269443853
"Adlercreutzia equolifaciens",22,0,0,0,-0.204407135480636
"Eisenbergiella massiliensis",11,0,0,0,0.203366958623521
"Prevotella nigrescens",11,0,0,0,0.201780339842439
"Slackia isoflavoniconvertens",11,0,0,0,0.193758350098917
"Clostridium sp. CAG:242",11,0,0,0,0.193310234896835
